,CensusTract,State,County,Urban,POP2010,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LAPOP1_10,LALOWI1_10,LALOWI05_10,LALOWI1_20,lasnaphalf,lasnaphalfshare,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,tract,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
0,17031251100,Illinois,Cook,1,4302,1498,17,0.0039517,1,33.5,37700,6.363291324,3.622074344,2665.433666,3.622074344,695.9971351,0.46461758,2564,1195,577,82,4038,9,0,20,153,215,545,650,17031251100,60651,0.105243345,0.092531395,0.08994709,0.103168417
1,17031251600,Illinois,Cook,1,3649,1109,20,0.005481,1,36.4,33848,2025.392412,1366.693809,2259.010699,1366.693809,482.6942445,0.435251798,2400,1084,430,53,3501,1,0,11,83,135,274,484,17031251600,60651,0.001236892,0.014540648,0.002351558,0.002246779
2,17031251600,Illinois,Cook,1,3649,1109,20,0.005481,1,36.4,33848,2025.392412,1366.693809,2259.010699,1366.693809,482.6942445,0.435251798,2400,1084,430,53,3501,1,0,11,83,135,274,484,17031251600,60644,0.061451558,0.018726592,0.025177026,0.054929977
3,17031430102,Illinois,Cook,1,2963,1814,10,0.003375,1,24.9,49250,1.479308546,0.694732368,1601.608634,0.694732368,593.999997,0.327453141,1821,499,468,49,2827,9,0,10,68,50,988,594,17031430102,60649,0.07291702,0.028222731,0.062431843,0.070103212
4,17031430700,Illinois,Cook,1,2210,1090,263,0.1190045,1,38.1,27404,1050.040356,591.072638,1326.282804,591.072638,287.562812,0.263819094,1326,397,383,93,2029,11,0,7,70,71,433,315,17031430700,60649,0.045945854,0.041952708,0.051254089,0.046358576
5,17031431302,Illinois,Cook,1,4166,1737,5,0.0012002,1,37.3,27353,20.53961754,14.57164478,2719.763774,14.57164478,802.0743454,0.461758403,2191,1180,367,54,4048,0,0,2,62,60,727,646,17031431302,60649,0.170331718,0.22044241,0.130861505,0.168038966
6,17031431400,Illinois,Cook,1,6418,3280,507,0.0789966,1,35,34052,2312.327534,928.0284442,3504.551348,928.0284442,1004.506494,0.30625198,2824,1105,927,164,6050,32,0,33,139,97,1118,965,17031431400,60649,0.145529089,0.054157132,0.101145038,0.137336194
7,17031460100,Illinois,Cook,1,3405,1278,3,0.0008811,1,27.8,41623,2.800569341,1.41708196,378.8518123,1.41708196,119.8636027,0.093789986,2095,947,336,358,2560,13,0,7,467,673,474,424,17031460100,60649,0.012231898,0.014492754,0.01172301,0.012263713
8,17031460100,Illinois,Cook,1,3405,1278,3,0.0008811,1,27.8,41623,2.800569341,1.41708196,378.8518123,1.41708196,119.8636027,0.093789986,2095,947,336,358,2560,13,0,7,467,673,474,424,17031460100,60617,0.039293922,0.028910687,0.055002619,0.039574686
9,17031490600,Illinois,Cook,1,1562,574,4,0.0025608,1,17.8,42366,604.973937,245.8227433,634.6969648,245.8227433,125.5949355,0.218806508,590,367,323,2,1519,2,0,5,34,22,59,121,17031490600,60620,0.000865801,0,0,0.000764683
10,17031490600,Illinois,Cook,1,1562,574,4,0.0025608,1,17.8,42366,604.973937,245.8227433,634.6969648,245.8227433,125.5949355,0.218806508,590,367,323,2,1519,2,0,5,34,22,59,121,17031490600,60628,0.020008923,0.024067389,0.005586592,0.019734572
11,17031490901,Illinois,Cook,1,3891,1535,95,0.0244153,1,30,45055,59.7406106,41.89909232,2181.125157,41.89909232,581.515349,0.378837361,2334,966,552,21,3806,2,0,5,57,34,532,580,17031490901,60628,0.11178227,0.103489771,0.242085661,0.115740595
12,17031491000,Illinois,Cook,1,5247,1545,4,0.0007623,1,50.2,26542,174.0043392,132.2961428,3736.119575,132.2961428,778.8727368,0.504124749,4431,1670,629,19,5134,0,0,26,68,51,545,773,17031491000,60628,0.060953427,0.040914561,0.053072626,0.059642958
13,17031491300,Illinois,Cook,1,2886,797,80,0.02772,1,43.9,33145,615.8780417,491.6844507,1902.048153,491.6844507,397.7885986,0.499107401,1517,886,316,23,2806,2,0,8,47,39,280,366,17031491300,60628,0.031746577,0.025270758,0.027932961,0.031280394
14,17031491400,Illinois,Cook,1,2931,1085,27,0.0092119,1,36.3,35875,967.1116918,545.0591716,1707.4073,545.0591716,514.430859,0.474129824,1489,851,279,16,2863,0,1,7,44,40,369,504,17031491400,60628,0.046710368,0.143802647,0.145251397,0.055093653
15,17031510100,Illinois,Cook,1,3530,1068,59,0.0167139,1,18.7,36250,288.3414671,196.442734,2322.885593,196.442734,226.4466735,0.21202872,2426,1091,418,1719,273,12,1,59,1466,2848,167,228,17031510100,60617,0.031473442,0.036138358,0.025667889,0.03141525
16,17031510200,Illinois,Cook,1,2986,1053,0,0,1,22.5,49625,46.12828958,22.62444669,740.5518179,22.62444669,106.4467217,0.101089004,965,756,463,425,2219,2,0,13,327,575,126,184,17031510200,60617,0.036580695,0.024780589,0.003143007,0.034116108
17,17031510300,Illinois,Cook,1,5360,1979,16,0.0029851,1,25.8,41897,3.920459464,3.067924619,1453.022416,3.067924619,246.3215165,0.124467669,3518,1362,883,35,5218,3,0,4,100,55,492,576,17031510300,60617,0.070512002,0.058853898,0.012048193,0.066696992
18,17031530100,Illinois,Cook,1,2371,714,3,0.0012653,1,41.1,30500,634.5622769,418.0592246,1482.752756,418.0592246,331.1581737,0.463806966,1302,732,260,457,1177,3,2,8,724,1136,244,346,17031530100,60628,0.029858942,0.056558363,0.086592179,0.033162865
19,17031530503,Illinois,Cook,1,5345,1784,0,0,1,32.4,42043,671.5622653,343.8910499,2944.515457,343.8910499,538.5268062,0.301864802,2762,1419,761,25,5231,4,0,4,81,57,345,518,17031530503,60628,0.05450115,0.037906137,0.02141527,0.052520942
20,17031530503,Illinois,Cook,1,5345,1784,0,0,1,32.4,42043,671.5622653,343.8910499,2944.515457,343.8910499,538.5268062,0.301864802,2762,1419,761,25,5231,4,0,4,81,57,345,518,17031530503,60643,0.017405506,0,0,0.015604736
21,17031530600,Illinois,Cook,1,3207,1128,2,0.0006236,1,38.6,31538,187.0822148,99.22351086,1765.74507,99.22351086,377.1470615,0.334350232,1630,899,385,30,3117,1,0,1,58,42,311,348,17031530600,60628,0.043999039,0.02166065,0.037243948,0.042606595
23,17031550100,Illinois,Cook,1,6628,2484,11,0.0016596,1,20.6,50184,0.946605742,0.40928781,790.9929228,0.40928781,116.6670663,0.046967418,3040,1719,905,4576,329,47,2,73,1601,3362,325,367,17031550100,60633,0.489631336,0.366242038,0.392070485,0.479039833
24,17031550100,Illinois,Cook,1,6628,2484,11,0.0016596,1,20.6,50184,0.946605742,0.40928781,790.9929228,0.40928781,116.6670663,0.046967418,3040,1719,905,4576,329,47,2,73,1601,3362,325,367,17031550100,60617,0.007980082,0.017036655,0,0.008045716
25,17031560200,Illinois,Cook,1,1721,506,0,0,1,17,43750,891.5053424,307.0180852,633.6774872,307.0180852,75.74850317,0.149700599,572,426,355,130,1500,0,0,1,90,214,74,75,17031560200,60632,0,0.001618996,0.001127396,0.000179622
26,17031560200,Illinois,Cook,1,1721,506,0,0,1,17,43750,891.5053424,307.0180852,633.6774872,307.0180852,75.74850317,0.149700599,572,426,355,130,1500,0,0,1,90,214,74,75,17031560200,60638,0.025675993,0.014438503,0.002895753,0.02383021
27,17031640600,Illinois,Cook,1,3912,1595,0,0,1,20.4,41667,108.176639,51.72140735,1023.898199,51.72140735,158.3047936,0.099250654,1639,896,486,3028,58,58,1,22,745,1600,171,264,17031640600,60638,0.079332236,0.055080214,0.222972973,0.083612594
28,17031640700,Illinois,Cook,1,3156,1022,0,0,1,12.4,57917,868.3414536,347.4028633,1028.497509,347.4028633,142.5110106,0.139443259,1090,905,310,2353,43,24,0,28,708,1760,61,157,17031640700,60638,0.050834705,0.025668449,0.025096525,0.047784535
29,17031700100,Illinois,Cook,1,3427,1005,0,0,1,23.1,68194,754.0599074,176.9816935,1151.806569,176.9816935,182.9488842,0.182038691,1336,1023,192,547,2090,9,2,29,750,1129,112,202,17031700100,60652,0.077891654,0.087719298,0.142857143,0.080251035
30,17031700100,Illinois,Cook,1,3427,1005,0,0,1,23.1,68194,754.0599074,176.9816935,1151.806569,176.9816935,182.9488842,0.182038691,1336,1023,192,547,2090,9,2,29,750,1129,112,202,17031700100,60629,0,0.000611247,0,2.77E-05
31,17031700100,Illinois,Cook,1,3427,1005,0,0,1,23.1,68194,754.0599074,176.9816935,1151.806569,176.9816935,182.9488842,0.182038691,1336,1023,192,547,2090,9,2,29,750,1129,112,202,17031700100,60620,3.33E-05,0.031011236,0.001718213,0.002146996
32,17031700200,Illinois,Cook,1,6609,1749,0,0,1,14.9,53420,640.7526061,273.6310046,2080.777895,273.6310046,283.0057132,0.161810013,3042,2197,459,3226,934,67,4,47,2331,4599,157,415,17031700200,60629,0,0.011002445,0.001290323,0.000554401
33,17031700200,Illinois,Cook,1,6609,1749,0,0,1,14.9,53420,640.7526061,273.6310046,2080.777895,273.6310046,283.0057132,0.161810013,3042,2197,459,3226,934,67,4,47,2331,4599,157,415,17031700200,60652,0.130893119,0.059210526,0.113300493,0.126051542
34,17031730100,Illinois,Cook,1,2424,900,0,0,1,20.4,49655,949.8380425,386.9396686,1043.699358,386.9396686,242.3076914,0.269230768,1086,554,502,9,2370,0,0,7,38,21,115,238,17031730100,60620,0.031535132,0.005393258,0.000572738,0.028234464
35,17031730100,Illinois,Cook,1,2424,900,0,0,1,20.4,49655,949.8380425,386.9396686,1043.699358,386.9396686,242.3076914,0.269230768,1086,554,502,9,2370,0,0,7,38,21,115,238,17031730100,60628,0.000652092,0.004211793,0,0.000815737
36,17031730500,Illinois,Cook,1,4388,1539,3,0.0006837,1,8.9,51250,1291.979313,507.6605071,1814.248053,507.6605071,317.9662984,0.206605782,1894,1043,882,22,4302,4,0,22,38,57,298,346,17031730500,60628,0.055908295,0.038507822,0.008379888,0.053399429
55,17031820901,Illinois,Cook,1,5686,1952,0,0,1,11.4,48649,1964.740479,900.4271084,2167.393926,900.4271084,162.4510122,0.083222855,2310,1345,745,4634,89,147,0,33,783,1514,85,164,17031820901,60629,0,0.00794621,0.002580645,0.00047124
56,17031820901,Illinois,Cook,1,5686,1952,0,0,1,11.4,48649,1964.740479,900.4271084,2167.393926,900.4271084,162.4510122,0.083222855,2310,1345,745,4634,89,147,0,33,783,1514,85,164,17031820901,60638,0.015847637,0.200534759,0.030888031,0.030780688
68,17031825700,Illinois,Cook,1,4206,1431,307,0.072991,1,26.4,39375,122.8675345,55.97411014,1888.04115,55.97411014,297.059024,0.207588417,1997,1101,394,1096,2604,23,0,31,452,805,123,320,17031825700,60633,0.302227343,0.340764331,0.502202643,0.312228214
92,17031838800,Illinois,Cook,1,3233,1087,1,0.0003093,1,42.9,27011,3102.442352,1979.137195,2070.476031,1979.137195,417.0241677,0.383646888,2032,1059,355,685,1772,3,0,17,756,1331,379,392,17031838800,60633,0.001920123,0.143312102,0.039647577,0.011132371
93,17031838800,Illinois,Cook,1,3233,1087,1,0.0003093,1,42.9,27011,3102.442352,1979.137195,2070.476031,1979.137195,417.0241677,0.383646888,2032,1059,355,685,1772,3,0,17,756,1331,379,392,17031838800,60628,0,0.001203369,0,6.27E-05
94,17031838800,Illinois,Cook,1,3233,1087,1,0.0003093,1,42.9,27011,3102.442352,1979.137195,2070.476031,1979.137195,417.0241677,0.383646888,2032,1059,355,685,1772,3,0,17,756,1331,379,392,17031838800,60617,0.035846527,0.033557047,0.027763227,0.035281742
95,17031843900,Illinois,Cook,1,3533,1935,26,0.0073592,1,26.3,38494,708.999095,470.1183306,1051.271198,470.1183306,431.7497296,0.223126475,1977,635,563,129,3261,43,0,14,86,63,766,587,17031843900,60649,0.05373903,0.013729977,0.047709924,0.051577177
96,17031843900,Illinois,Cook,1,3533,1935,26,0.0073592,1,26.3,38494,708.999095,470.1183306,1051.271198,470.1183306,431.7497296,0.223126475,1977,635,563,129,3261,43,0,14,86,63,766,587,17031843900,60637,0.028606232,0.025575448,0.019612971,0.027359916